QMOOD,Sat, 17 Mar 2018 14:38:22 EDT
Method,IMP
"installer.OperatingSystem.OSTask.perform(String,Vector)",3
"installer.OperatingSystem.getInstallDirectory(String,String)",5
"installer.Progress.advance(int)",2
"installer.Progress.done()",2
"installer.Progress.error(String)",2
"installer.Progress.message(String)",2
"installer.Progress.setMaximum(int)",2
"installer.TarInputStream.EntryFactory.createEntry(File)",1
"installer.TarInputStream.EntryFactory.createEntry(String)",1
"installer.TarInputStream.EntryFactory.createEntry(byte[])",1
"org.gjt.sp.jedit.BeanShellFacade.handleException(T,String,Throwable)",2
"org.gjt.sp.jedit.BeanShellFacade.resetDefaultVariables(NameSpace)",2
"org.gjt.sp.jedit.BeanShellFacade.setupDefaultVariables(NameSpace,T)",2
"org.gjt.sp.jedit.EBComponent.handleMessage(EBMessage)",6
"org.gjt.sp.jedit.EditAction.invoke(View)",6
"org.gjt.sp.jedit.EditBus.EBHandler.exact()",0
"org.gjt.sp.jedit.IPropertyManager.getProperty(String)",2
"org.gjt.sp.jedit.JEditAbstractEditAction.invoke(E)",7
"org.gjt.sp.jedit.JEditActionContext.invokeAction(EventObject,F)",3
"org.gjt.sp.jedit.JEditActionSet.createBeanShellAction(String,String,String,boolean,boolean,boolean)",2
"org.gjt.sp.jedit.JEditActionSet.getArray(int)",2
"org.gjt.sp.jedit.JEditActionSet.getProperty(String)",2
"org.gjt.sp.jedit.Macros.Handler.createMacro(String,String)",1
"org.gjt.sp.jedit.Macros.Handler.runMacro(View,Macro)",1
"org.gjt.sp.jedit.OptionPane.getComponent()",1
"org.gjt.sp.jedit.OptionPane.getName()",1
"org.gjt.sp.jedit.OptionPane.init()",1
"org.gjt.sp.jedit.OptionPane.save()",1
"org.gjt.sp.jedit.RegisterSaver.loadRegisters()",1
"org.gjt.sp.jedit.RegisterSaver.saveRegisters()",1
"org.gjt.sp.jedit.Registers.Register.getTransferable()",2
"org.gjt.sp.jedit.Registers.Register.setTransferable(Transferable)",2
"org.gjt.sp.jedit.Registers.Register.setValue(String)",2
"org.gjt.sp.jedit.Registers.Register.toString()",2
"org.gjt.sp.jedit.RegistersListener.registerChanged(char)",1
"org.gjt.sp.jedit.browser.BrowserListener.filesActivated(VFSBrowser,VFSFile[])",1
"org.gjt.sp.jedit.browser.BrowserListener.filesSelected(VFSBrowser,VFSFile[])",1
"org.gjt.sp.jedit.bsh.BSHBlock.NodeFilter.isVisible(SimpleNode)",1
"org.gjt.sp.jedit.bsh.BshClassManager.Listener.classLoaderChanged()",2
"org.gjt.sp.jedit.bsh.BshIterator.hasNext()",2
"org.gjt.sp.jedit.bsh.BshIterator.next()",2
"org.gjt.sp.jedit.bsh.ClassGenerator.generateClass(String,Modifiers,Class[],Class,BSHBlock,boolean,CallStack,Interpreter)",1
"org.gjt.sp.jedit.bsh.ClassGenerator.invokeSuperclassMethod(BshClassManager,Object,String,Object[])",1
"org.gjt.sp.jedit.bsh.ClassGenerator.setInstanceNameSpaceParent(Object,String,NameSpace)",1
"org.gjt.sp.jedit.bsh.ConsoleInterface.error(Object)",1
"org.gjt.sp.jedit.bsh.ConsoleInterface.getErr()",1
"org.gjt.sp.jedit.bsh.ConsoleInterface.getIn()",1
"org.gjt.sp.jedit.bsh.ConsoleInterface.getOut()",1
"org.gjt.sp.jedit.bsh.ConsoleInterface.print(Object)",1
"org.gjt.sp.jedit.bsh.ConsoleInterface.println(Object)",1
"org.gjt.sp.jedit.bsh.NameSource.Listener.nameSourceChanged(NameSource)",0
"org.gjt.sp.jedit.bsh.NameSource.addNameSourceListener(Listener)",2
"org.gjt.sp.jedit.bsh.NameSource.getAllNames()",2
"org.gjt.sp.jedit.bsh.Node.jjtAddChild(Node,int)",1
"org.gjt.sp.jedit.bsh.Node.jjtClose()",1
"org.gjt.sp.jedit.bsh.Node.jjtGetChild(int)",1
"org.gjt.sp.jedit.bsh.Node.jjtGetNumChildren()",1
"org.gjt.sp.jedit.bsh.Node.jjtGetParent()",1
"org.gjt.sp.jedit.bsh.Node.jjtOpen()",1
"org.gjt.sp.jedit.bsh.Node.jjtSetParent(Node)",1
"org.gjt.sp.jedit.bsh.ReflectManager.setAccessible(Object)",1
"org.gjt.sp.jedit.bsh.classpath.BshClassPath.ClassSource.getCode(String)",3
"org.gjt.sp.jedit.bsh.classpath.BshClassPath.MappingFeedback.classMapping(String)",0
"org.gjt.sp.jedit.bsh.classpath.BshClassPath.MappingFeedback.endClassMapping()",0
"org.gjt.sp.jedit.bsh.classpath.BshClassPath.MappingFeedback.errorWhileMapping(String)",0
"org.gjt.sp.jedit.bsh.classpath.BshClassPath.MappingFeedback.startClassMapping()",0
"org.gjt.sp.jedit.bsh.classpath.ClassPathListener.classPathChanged()",1
"org.gjt.sp.jedit.bsh.org.objectweb.asm.ClassVisitor.visit(int,String,String,String[],String)",1
"org.gjt.sp.jedit.bsh.org.objectweb.asm.ClassVisitor.visitEnd()",1
"org.gjt.sp.jedit.bsh.org.objectweb.asm.ClassVisitor.visitField(int,String,String,Object)",1
"org.gjt.sp.jedit.bsh.org.objectweb.asm.ClassVisitor.visitInnerClass(String,String,String,int)",1
"org.gjt.sp.jedit.bsh.org.objectweb.asm.ClassVisitor.visitMethod(int,String,String,String[])",1
"org.gjt.sp.jedit.bsh.org.objectweb.asm.CodeVisitor.visitFieldInsn(int,String,String,String)",1
"org.gjt.sp.jedit.bsh.org.objectweb.asm.CodeVisitor.visitIincInsn(int,int)",1
"org.gjt.sp.jedit.bsh.org.objectweb.asm.CodeVisitor.visitInsn(int)",1
"org.gjt.sp.jedit.bsh.org.objectweb.asm.CodeVisitor.visitIntInsn(int,int)",1
"org.gjt.sp.jedit.bsh.org.objectweb.asm.CodeVisitor.visitJumpInsn(int,Label)",1
"org.gjt.sp.jedit.bsh.org.objectweb.asm.CodeVisitor.visitLabel(Label)",1
"org.gjt.sp.jedit.bsh.org.objectweb.asm.CodeVisitor.visitLdcInsn(Object)",1
"org.gjt.sp.jedit.bsh.org.objectweb.asm.CodeVisitor.visitLineNumber(int,Label)",1
"org.gjt.sp.jedit.bsh.org.objectweb.asm.CodeVisitor.visitLocalVariable(String,String,Label,Label,int)",1
"org.gjt.sp.jedit.bsh.org.objectweb.asm.CodeVisitor.visitLookupSwitchInsn(Label,int[],Label[])",1
"org.gjt.sp.jedit.bsh.org.objectweb.asm.CodeVisitor.visitMaxs(int,int)",1
"org.gjt.sp.jedit.bsh.org.objectweb.asm.CodeVisitor.visitMethodInsn(int,String,String,String)",1
"org.gjt.sp.jedit.bsh.org.objectweb.asm.CodeVisitor.visitMultiANewArrayInsn(String,int)",1
"org.gjt.sp.jedit.bsh.org.objectweb.asm.CodeVisitor.visitTableSwitchInsn(int,int,Label,Label[])",1
"org.gjt.sp.jedit.bsh.org.objectweb.asm.CodeVisitor.visitTryCatchBlock(Label,Label,Label,String)",1
"org.gjt.sp.jedit.bsh.org.objectweb.asm.CodeVisitor.visitTypeInsn(int,String)",1
"org.gjt.sp.jedit.bsh.org.objectweb.asm.CodeVisitor.visitVarInsn(int,int)",1
"org.gjt.sp.jedit.buffer.BufferListener.bufferLoaded(JEditBuffer)",3
"org.gjt.sp.jedit.buffer.BufferListener.contentInserted(JEditBuffer,int,int,int,int)",4
"org.gjt.sp.jedit.buffer.BufferListener.contentRemoved(JEditBuffer,int,int,int,int)",4
"org.gjt.sp.jedit.buffer.BufferListener.foldHandlerChanged(JEditBuffer)",2
"org.gjt.sp.jedit.buffer.BufferListener.foldLevelChanged(JEditBuffer,int,int)",2
"org.gjt.sp.jedit.buffer.BufferListener.preContentInserted(JEditBuffer,int,int,int,int)",3
"org.gjt.sp.jedit.buffer.BufferListener.preContentRemoved(JEditBuffer,int,int,int,int)",3
"org.gjt.sp.jedit.buffer.BufferListener.transactionComplete(JEditBuffer)",3
"org.gjt.sp.jedit.buffer.BufferUndoListener.beginRedo(JEditBuffer)",0
"org.gjt.sp.jedit.buffer.BufferUndoListener.beginUndo(JEditBuffer)",0
"org.gjt.sp.jedit.buffer.BufferUndoListener.endRedo(JEditBuffer)",0
"org.gjt.sp.jedit.buffer.BufferUndoListener.endUndo(JEditBuffer)",0
"org.gjt.sp.jedit.buffer.FoldHandler.getFoldLevel(JEditBuffer,int,Segment)",3
"org.gjt.sp.jedit.buffer.FoldHandlerProvider.getFoldHandler(String)",2
"org.gjt.sp.jedit.buffer.FoldHandlerProvider.getFoldModes()",2
"org.gjt.sp.jedit.buffer.UndoManager.Edit.redo()",3
"org.gjt.sp.jedit.buffer.UndoManager.Edit.undo()",3
"org.gjt.sp.jedit.bufferset.BufferSetListener.bufferAdded(Buffer,int)",2
"org.gjt.sp.jedit.bufferset.BufferSetListener.bufferMoved(Buffer,int,int)",2
"org.gjt.sp.jedit.bufferset.BufferSetListener.bufferRemoved(Buffer,int)",2
"org.gjt.sp.jedit.bufferset.BufferSetListener.bufferSetSorted()",2
"org.gjt.sp.jedit.datatransfer.JEditTransferableService.accept(TextArea,String)",2
"org.gjt.sp.jedit.datatransfer.JEditTransferableService.getTransferable(TextArea,String)",2
"org.gjt.sp.jedit.gui.AbstractContextOptionPane.getContextMenu()",2
"org.gjt.sp.jedit.gui.AbstractContextOptionPane.saveContextMenu(String)",2
"org.gjt.sp.jedit.gui.CompletionPopup.Candidates.complete(int)",1
"org.gjt.sp.jedit.gui.CompletionPopup.Candidates.getCellRenderer(JList,int,boolean,boolean)",1
"org.gjt.sp.jedit.gui.CompletionPopup.Candidates.getDescription(int)",1
"org.gjt.sp.jedit.gui.CompletionPopup.Candidates.getSize()",1
"org.gjt.sp.jedit.gui.CompletionPopup.Candidates.isValid()",1
"org.gjt.sp.jedit.gui.DefaultFocusComponent.focusOnDefaultComponent()",3
"org.gjt.sp.jedit.gui.DockableWindow.move(String)",2
"org.gjt.sp.jedit.gui.DockableWindowContainer.isVisible(Entry)",2
"org.gjt.sp.jedit.gui.DockableWindowContainer.register(Entry)",2
"org.gjt.sp.jedit.gui.DockableWindowContainer.remove(Entry)",2
"org.gjt.sp.jedit.gui.DockableWindowContainer.show(Entry)",2
"org.gjt.sp.jedit.gui.DockableWindowContainer.unregister(Entry)",2
"org.gjt.sp.jedit.gui.DockableWindowManager.DockingArea.getCurrent()",1
"org.gjt.sp.jedit.gui.DockableWindowManager.DockingArea.getDockables()",1
"org.gjt.sp.jedit.gui.DockableWindowManager.DockingArea.show(String)",1
"org.gjt.sp.jedit.gui.DockableWindowManager.DockingArea.showMostRecent()",1
"org.gjt.sp.jedit.gui.DockableWindowManager.DockingLayout.getName()",1
"org.gjt.sp.jedit.gui.DockableWindowManager.DockingLayout.loadLayout(String,int)",1
"org.gjt.sp.jedit.gui.DockableWindowManager.DockingLayout.saveLayout(String,int)",1
"org.gjt.sp.jedit.gui.DockableWindowManager.closeCurrentArea()",1
"org.gjt.sp.jedit.gui.DockableWindowManager.disposeDockableWindow(String)",1
"org.gjt.sp.jedit.gui.DockableWindowManager.floatDockableWindow(String)",1
"org.gjt.sp.jedit.gui.DockableWindowManager.getBottomDockingArea()",1
"org.gjt.sp.jedit.gui.DockableWindowManager.getDockingLayout(ViewConfig)",1
"org.gjt.sp.jedit.gui.DockableWindowManager.getLeftDockingArea()",1
"org.gjt.sp.jedit.gui.DockableWindowManager.getRightDockingArea()",1
"org.gjt.sp.jedit.gui.DockableWindowManager.getTopDockingArea()",1
"org.gjt.sp.jedit.gui.DockableWindowManager.hideDockableWindow(String)",1
"org.gjt.sp.jedit.gui.DockableWindowManager.isDockableWindowDocked(String)",1
"org.gjt.sp.jedit.gui.DockableWindowManager.isDockableWindowVisible(String)",1
"org.gjt.sp.jedit.gui.DockableWindowManager.setMainPanel(JPanel)",1
"org.gjt.sp.jedit.gui.DockableWindowManager.showDockableWindow(String)",1
"org.gjt.sp.jedit.gui.DockingFrameworkProvider.create(View,DockableWindowFactory,ViewConfig)",1
"org.gjt.sp.jedit.gui.DockingFrameworkProvider.createDockingLayout()",1
"org.gjt.sp.jedit.gui.DynamicContextMenuService.createMenu(JEditTextArea,MouseEvent)",0
"org.gjt.sp.jedit.gui.EnhancedDialog.cancel()",20
"org.gjt.sp.jedit.gui.EnhancedDialog.ok()",19
"org.gjt.sp.jedit.gui.FilteredListModel.passFilter(int,String)",1
"org.gjt.sp.jedit.gui.FilteredTableModel.passFilter(int,String)",1
"org.gjt.sp.jedit.gui.HistoryModelSaver.load(Map<String, HistoryModel>)",1
"org.gjt.sp.jedit.gui.HistoryModelSaver.save(Map<String, HistoryModel>)",1
"org.gjt.sp.jedit.gui.MutableListModel.insertElementAt(Object,int)",2
"org.gjt.sp.jedit.gui.MutableListModel.removeElement(Object)",2
"org.gjt.sp.jedit.gui.OptionsDialog.createOptionTreeModel()",2
"org.gjt.sp.jedit.gui.OptionsDialog.getDefaultGroup()",2
"org.gjt.sp.jedit.gui.statusbar.StatusWidgetFactory.getWidget(View)",15
"org.gjt.sp.jedit.gui.statusbar.Widget.getComponent()",15
"org.gjt.sp.jedit.gui.statusbar.Widget.propertiesChanged()",15
"org.gjt.sp.jedit.gui.statusbar.Widget.update()",15
"org.gjt.sp.jedit.gui.tray.JEditTrayIcon.setTrayIconArgs(boolean,String,String[])",1
"org.gjt.sp.jedit.help.HelpHistoryModelListener.historyUpdated()",1
"org.gjt.sp.jedit.help.HelpViewerInterface.addPropertyChangeListener(PropertyChangeListener)",0
"org.gjt.sp.jedit.help.HelpViewerInterface.dispose()",1
"org.gjt.sp.jedit.help.HelpViewerInterface.getBaseURL()",1
"org.gjt.sp.jedit.help.HelpViewerInterface.getComponent()",1
"org.gjt.sp.jedit.help.HelpViewerInterface.getShortURL()",1
"org.gjt.sp.jedit.help.HelpViewerInterface.gotoURL(String,boolean,int)",1
"org.gjt.sp.jedit.help.HelpViewerInterface.queueTOCReload()",1
"org.gjt.sp.jedit.help.HelpViewerInterface.setTitle(String)",0
"org.gjt.sp.jedit.indent.IndentAction.calculateIndent(JEditBuffer,int,int,int)",8
"org.gjt.sp.jedit.indent.IndentAction.keepChecking()",8
"org.gjt.sp.jedit.indent.IndentRule.apply(JEditBuffer,int,int,int,List<IndentAction>)",5
"org.gjt.sp.jedit.input.AbstractInputHandler.handleKey(Key,boolean)",2
"org.gjt.sp.jedit.input.AbstractInputHandler.invokeAction(E)",2
"org.gjt.sp.jedit.input.AbstractInputHandler.invokeAction(String)",2
"org.gjt.sp.jedit.input.AbstractInputHandler.processKeyEvent(KeyEvent,int,boolean)",2
"org.gjt.sp.jedit.input.InputHandlerProvider.getInputHandler()",4
"org.gjt.sp.jedit.input.TextAreaInputHandler.getAction(String)",1
"org.gjt.sp.jedit.io.Encoding.getPermissiveTextReader(InputStream)",2
"org.gjt.sp.jedit.io.Encoding.getTextReader(InputStream)",2
"org.gjt.sp.jedit.io.Encoding.getTextWriter(OutputStream)",2
"org.gjt.sp.jedit.io.EncodingDetector.detectEncoding(InputStream)",3
"org.gjt.sp.jedit.io.VFSFileFilter.accept(String)",2
"org.gjt.sp.jedit.io.VFSFileFilter.accept(VFSFile)",2
"org.gjt.sp.jedit.io.VFSFileFilter.getDescription()",2
"org.gjt.sp.jedit.menu.DynamicMenuProvider.update(JMenu)",8
"org.gjt.sp.jedit.menu.DynamicMenuProvider.updateEveryTime()",8
"org.gjt.sp.jedit.search.BufferListSet._getFiles(Component)",2
"org.gjt.sp.jedit.search.HyperSearchNode.getBuffer(View)",2
"org.gjt.sp.jedit.search.HyperSearchNode.goTo(EditPane)",2
"org.gjt.sp.jedit.search.HyperSearchResults.ResultVisitor.visit(Buffer,HyperSearchResult)",2
"org.gjt.sp.jedit.search.HyperSearchTreeNodeCallback.processNode(DefaultMutableTreeNode)",5
"org.gjt.sp.jedit.search.SearchFileSet.getCode()",4
"org.gjt.sp.jedit.search.SearchFileSet.getFileCount(View)",2
"org.gjt.sp.jedit.search.SearchFileSet.getFiles(View)",2
"org.gjt.sp.jedit.search.SearchFileSet.getFirstFile(View)",2
"org.gjt.sp.jedit.search.SearchFileSet.getNextFile(View,String)",2
"org.gjt.sp.jedit.search.SearchMatcher.nextMatch(CharSequence,boolean,boolean,boolean,boolean)",2
"org.gjt.sp.jedit.syntax.TokenHandler.handleToken(Segment,byte,int,int,LineContext)",6
"org.gjt.sp.jedit.syntax.TokenHandler.setLineContext(LineContext)",5
"org.gjt.sp.jedit.syntax.XModeHandler.error(String,Object)",2
"org.gjt.sp.jedit.syntax.XModeHandler.getTokenMarker(String)",2
"org.gjt.sp.jedit.textarea.Anchor.changed()",2
"org.gjt.sp.jedit.textarea.Anchor.reset()",2
"org.gjt.sp.jedit.textarea.FoldPainter.paintFoldEnd(Gutter,Graphics2D,int,int,int,int,JEditBuffer)",2
"org.gjt.sp.jedit.textarea.FoldPainter.paintFoldMiddle(Gutter,Graphics2D,int,int,int,int,JEditBuffer)",2
"org.gjt.sp.jedit.textarea.FoldPainter.paintFoldStart(Gutter,Graphics2D,int,int,boolean,int,int,JEditBuffer)",2
"org.gjt.sp.jedit.textarea.GutterPopupHandler.handlePopup(int,int,int)",1
"org.gjt.sp.jedit.textarea.MouseActionsProvider.getActionForEvent(MouseEvent,String)",1
"org.gjt.sp.jedit.textarea.Node.addChild(Node)",1
"org.gjt.sp.jedit.textarea.Node.getChildren()",1
"org.gjt.sp.jedit.textarea.Node.getParent()",1
"org.gjt.sp.jedit.textarea.ScrollListener.scrolledHorizontally(TextArea)",1
"org.gjt.sp.jedit.textarea.ScrollListener.scrolledVertically(TextArea)",1
"org.gjt.sp.jedit.textarea.Selection.contentInserted(JEditBuffer,int,int,int,int)",2
"org.gjt.sp.jedit.textarea.Selection.contentRemoved(JEditBuffer,int,int,int,int)",2
"org.gjt.sp.jedit.textarea.Selection.getEnd(JEditBuffer,int)",2
"org.gjt.sp.jedit.textarea.Selection.getStart(JEditBuffer,int)",2
"org.gjt.sp.jedit.textarea.Selection.getText(JEditBuffer,StringBuilder)",2
"org.gjt.sp.jedit.textarea.Selection.setText(JEditBuffer,String)",2
"org.gjt.sp.jedit.textarea.ShapedFoldPainter.paintFoldShape(Graphics2D,int,int)",2
"org.gjt.sp.jedit.textarea.StatusListener.bracketSelected(TextArea,int,String)",1
"org.gjt.sp.jedit.textarea.StatusListener.narrowActive(TextArea)",1
"org.gjt.sp.jedit.textarea.StatusListener.statusChanged(TextArea,int,boolean)",1
"org.gjt.sp.jedit.textarea.StructureMatcher.getMatch(TextArea)",1
"org.gjt.sp.jedit.textarea.StructureMatcher.selectMatch(TextArea)",1
"org.gjt.sp.jedit.visitors.JEditVisitor.visit(EditPane)",13
"org.gjt.sp.jedit.visitors.JEditVisitor.visit(JEditTextArea)",1
"org.gjt.sp.jedit.visitors.JEditVisitor.visit(View)",1
"org.gjt.sp.util.EnhancedTreeCellRenderer.configureTreeCellRendererComponent(JTree,Object,boolean,boolean,boolean,int,boolean)",4
"org.gjt.sp.util.EnhancedTreeCellRenderer.newInstance()",4
"org.gjt.sp.util.ProgressObserver.setMaximum(long)",3
"org.gjt.sp.util.ProgressObserver.setStatus(String)",3
"org.gjt.sp.util.ProgressObserver.setValue(long)",3
"org.gjt.sp.util.Task._run()",11
"org.gjt.sp.util.TaskListener.done(Task)",5
"org.gjt.sp.util.TaskListener.maximumUpdated(Task)",4
"org.gjt.sp.util.TaskListener.running(Task)",4
"org.gjt.sp.util.TaskListener.statusUpdated(Task)",4
"org.gjt.sp.util.TaskListener.valueUpdated(Task)",4
"org.gjt.sp.util.TaskListener.waiting(Task)",4
"org.gjt.sp.util.TaskManager.TaskVisitor.visit(Task)",1
"org.gjt.sp.util.ThreadAbortMonitor.isAborted()",1
"org.gjt.sp.util.WorkThreadProgressListener.progressUpdate(WorkThreadPool,int)",3
"org.gjt.sp.util.WorkThreadProgressListener.statusUpdate(WorkThreadPool,int)",3

